t,V,I
0,,
10,3.40271,0.598139
20,3.509,1.19716
30,3.60313,1.65583
40,3.68696,2.10411
50,3.79297,2.70772
60,3.91819,
70,3.95678,
80,3.98083,3.04261
90,4.001,3.05308
100,4.01613,3.05663
110,4.02894,3.08752
120,4.03824,3.10597
130,4.04547,3.11155
140,4.05112,3.11035
150,4.05628,3.11497
160,4.06069,3.11388
170,4.06456,
180,4.0531,
190,4.05557,3.08781
200,4.05933,3.0836
210,4.06339,3.11146
220,4.0671,3.09152
230,4.0707,3.09667
240,4.07475,3.09956
250,4.07873,3.09034
260,4.08068,3.09937
270,4.08391,3.0907
280,4.08632,
290,4.07599,
300,4.07894,3.06644
310,4.07885,3.06882
320,4.08218,3.07796
330,4.08531,3.05534
340,4.08855,3.06213
350,4.09432,3.05945
360,4.10246,3.05626
370,4.10523,3.05801
380,4.10362,3.05772
390,4.10438,
400,4.10384,
410,4.11126,3.00216
420,4.11517,3.01126
430,4.11901,3.01477
440,4.12171,3.02884
450,4.12504,3.03597
460,4.12781,3.03141
470,4.13105,3.02284
480,4.1337,3.02822
490,4.13661,3.02578
500,4.13913,3.02983
510,4.1427,3.04452
520,4.14537,3.04662
530,4.14787,3.0442
540,4.15079,3.04571
550,4.15287,3.04201
560,4.15543,3.04539
570,4.15768,
580,4.15861,
590,4.16098,2.95809
600,4.16313,2.97636
610,4.16522,2.98999
620,4.16797,3.01192
630,4.17058,3.01053
640,4.17279,3.01293
650,4.17437,3.01109
660,4.17729,3.0131
670,4.17949,3.01156
680,4.18224,3.01138
690,4.18578,3.00993
700,4.186,3.00593
710,4.18852,3.00387
720,4.19166,3.00255
730,4.19349,3.00163
740,4.19604,3.00671
750,4.19862,3.00663
760,4.20122,3.00867
770,4.20377,3.00509
780,4.20666,3.00833
790,4.20954,3.01103
800,4.21045,
810,4.21319,3.01548
820,4.21589,3.0025
830,4.21863,3.00469
840,4.22155,3.00561
850,4.22494,3.00818
860,4.22787,3.00931
870,4.23002,3.00701
880,4.23328,3.00568
890,4.23647,3.00543
900,4.23919,3.00376
910,4.24236,3.00134
920,4.24518,3.0015
930,4.24818,3.00322
940,4.25153,3.00411
950,4.25478,3.00454
960,4.258,2.99785
970,4.25824,2.99593
980,4.25962,2.99809
990,4.25878,3.00356
1000,4.25886,3.00356
1010,4.2586,2.99869
1020,4.25915,2.99869
1030,4.25797,2.96247
1040,4.25799,2.94617
1050,4.25791,2.94001
1060,4.25617,2.92077
1070,4.25875,2.89767
1080,4.26115,2.89767
1090,4.25928,2.88779
1100,4.25702,2.86975
1110,4.25773,2.85485
1120,4.25894,2.84253
1130,4.25882,2.82142
1140,4.25441,2.80251
1150,4.25898,2.7905
1160,4.25827,2.77916
1170,4.25783,2.76059
1180,4.25843,2.76059
1190,4.25762,2.72385
1200,4.25914,2.72024
1210,4.25825,2.70624
1220,4.25866,2.68573
1230,4.26001,2.68573
1240,4.25669,2.68519
1250,4.25792,2.6528
1260,4.25959,2.64532
1270,4.25735,2.63628
1280,4.25636,2.62216
1290,4.25753,2.59982
1300,4.25704,2.59364
1310,4.25866,2.5911
1320,4.25812,2.57144
1330,4.25745,2.56057
1340,4.25738,2.54758
1350,4.25857,2.54056
1360,4.25895,2.54056
1370,4.25907,2.53913
1380,4.25889,2.52442
1390,4.2573,2.51291
1400,4.25772,2.49096
1410,4.25844,2.47521
1420,4.26031,2.47521
1430,4.25786,2.46233
1440,4.25891,2.4554
1450,4.257,2.44652
1460,4.25778,2.44232
1470,4.25947,2.44024
1480,4.25715,2.42998
1490,4.25817,2.41962
1500,4.25974,2.41962
1510,4.25714,2.41336
1520,4.25806,2.41035
1530,4.25758,2.38571
1540,4.25866,2.38416
1550,4.25836,2.37509
1560,4.25874,2.3569
1570,4.25649,2.34351
1580,4.25771,2.32067
1590,4.25892,2.30044
1600,4.26034,2.30044
1610,4.25738,2.27385
1620,4.25884,2.2554
1630,4.25853,2.2554
1640,4.25755,2.24582
1650,4.25871,2.23386
1660,4.25841,2.23386
1670,4.25739,2.21715
1680,4.2587,2.21562
1690,4.25894,2.21168
1700,4.25988,2.21141
1710,4.25903,2.19206
1720,4.25931,2.19206
1730,4.25783,2.16669
1740,4.25929,2.15877
1750,4.25778,2.14916
1760,4.25774,2.13936
1770,4.25955,2.12828
1780,4.25709,2.11948
1790,4.25813,2.10499
1800,4.25917,2.09398
1810,4.25669,2.07797
1820,4.25824,2.05979
1830,4.25936,2.0539
1840,4.25844,2.05755
1850,4.25834,2.03683
1860,4.26027,2.03683
1870,4.25734,2.03424
1880,4.25824,2.0057
1890,4.25749,1.99243
1900,4.25753,1.98447
1910,4.25896,1.97723
1920,4.25932,1.97723
1930,4.25788,1.96126
1940,4.25825,1.95326
1950,4.25714,1.93655
1960,4.25817,1.93008
1970,4.2597,1.92152
1980,4.25771,1.90465
1990,4.25901,1.90422
2000,4.2588,1.90422
2010,4.258,1.87197
2020,4.25936,1.86779
2030,4.25913,1.85758
2040,4.25885,1.83791
2050,4.25844,1.83791
2060,4.25774,1.818
2070,4.25922,1.81061
2080,4.25972,1.79843
2090,4.25718,1.78704
2100,4.25809,1.7655
2110,4.25945,1.75694
2120,4.25945,1.74297
2130,4.25687,1.73058
2140,4.25818,1.72369
2150,4.25953,1.70685
2160,4.25748,1.68041
2170,4.25876,1.68041
2180,4.25859,1.66481
2190,4.25755,1.64243
2200,4.2597,1.64243
2210,4.25672,1.6226
2220,4.25834,1.59457
2230,4.25802,1.59457
2240,4.25766,1.58102
2250,4.25946,1.58102
2260,4.25896,1.58102
2270,4.25911,1.56843
2280,4.25819,1.55634
2290,4.25847,1.54689
2300,4.25805,1.5381
2310,4.25835,1.52017
2320,4.25973,1.52017
2330,4.25898,1.5001
2340,4.26022,1.50011
2350,4.25904,1.48361
2360,4.25751,1.46206
2370,4.25919,1.45615
2380,4.25909,1.45615
2390,4.25911,1.44425
2400,4.25808,1.43523
2410,4.25861,1.42153
2420,4.25917,1.41285
2430,4.25832,1.40425
2440,4.25932,1.40425
2450,4.25765,1.38902
2460,4.25927,1.38402
2470,4.25954,1.37543
2480,4.25649,1.36765
2490,4.25797,1.35098
2500,4.25959,1.34441
2510,4.25923,1.33205
2520,4.25759,1.31608
2530,4.25775,1.30937
2540,4.25926,1.29922
2550,4.25714,1.28553
2560,4.25821,1.28084
2570,4.25955,1.27432
2580,4.25715,1.25855
2590,4.25791,1.25162
2600,4.25936,1.24614
2610,4.25689,1.23571
2620,4.25806,1.2298
2630,4.25914,1.22189
2640,4.25818,1.21795
2650,4.25771,1.21467
2660,4.25885,1.20972
2670,4.25874,1.19919
2680,4.25698,1.18553
2690,4.25836,1.17521
2700,4.25909,1.1726
2710,4.25803,1.16465
2720,4.25726,1.15523
2730,4.25826,1.14733
2740,4.25926,1.14151
2750,4.25925,1.13181
2760,4.25899,1.13084
2770,4.25835,1.12453
2780,4.25914,1.12397
2790,4.25899,1.12289
2800,4.25896,1.11256
2810,4.25764,1.10091
2820,4.25628,1.091
2830,4.2572,1.0859
2840,4.25789,1.08353
2850,4.25882,1.07548
2860,4.25882,1.0708
2870,4.25818,1.06514
2880,4.25918,1.06106
2890,4.25987,1.06093
2900,4.2558,1.05149
2910,4.2548,1.04588
2920,4.25582,1.03804
2930,4.25622,1.02834
2940,4.25663,1.02626
2950,4.25542,1.01689
2960,4.25609,1.00771
2970,4.25685,1.00475
2980,4.2533,0.999382
2990,4.2535,0.99206
3000,4.25415,0.990881
3010,4.25448,0.988597
3020,4.2551,0.987131
3030,4.25588,0.980523
3040,4.25644,0.978729
3050,4.25416,0.97765
3060,4.25345,0.96629
3070,4.25392,0.963513
3080,4.25446,0.960669
3090,4.25487,0.954752
3100,4.2556,0.952241
3110,4.25603,0.950795
3120,4.25598,0.947953
3130,4.25527,0.945588
3140,4.25561,0.942629
3150,4.25609,0.938994
3160,4.25591,0.938994
3170,4.25508,0.934107
3180,4.25541,0.933666
3190,4.256,0.933398
3200,4.25603,0.930635
3210,4.25278,0.927336
3220,4.25325,0.924381
3230,4.25357,0.913109
3240,4.25406,0.907927
3250,4.25443,0.90794
3260,4.25503,0.898571
3270,4.25564,0.895373
3280,4.25625,0.89382
3290,4.2565,0.88878
3300,4.25467,0.885645
3310,4.25333,0.883288
3320,4.25383,0.880123
3330,4.25408,0.877473
3340,4.25448,0.876063
3350,4.25496,0.872912
3361,4.25546,0.868109
3371,4.25616,0.867188
3381,4.25643,0.863222
3391,4.25701,0.863221
3401,4.25384,0.861046
3411,4.25379,0.854448
3421,4.25418,0.850083
3431,4.25433,0.849298
3441,4.25518,0.845769
3451,4.25552,0.843535
3461,4.25608,0.840733
3471,4.25617,0.841973
3481,4.25466,0.840712
3491,4.25527,0.837544
3501,4.25567,0.835634
3511,4.25615,0.832181
3521,4.2538,0.834245
3531,4.25266,0.826983
3541,4.25325,0.816013
3551,4.25363,0.813666
3561,4.25374,0.806799
3571,4.25444,0.805605
3581,4.2547,0.807091
3591,4.25531,0.800844
3601,4.25591,0.800276
3611,4.25653,0.799357
3621,4.25262,0.792188
3631,4.25285,0.789122
3641,4.25316,0.785754
3651,4.25364,0.781439
3661,4.25413,0.780012
3671,4.25457,0.775476
3681,4.25522,0.769795
3691,4.25546,0.764866
3701,4.25628,0.766175
3711,4.2554,0.76664
3721,4.25272,0.763202
3731,4.2532,0.760343
3741,4.25353,0.755551
3751,4.25389,0.753802
3761,4.25461,0.750089
3771,4.25475,0.742826
3781,4.25528,0.745775
3791,4.25593,0.746959
3801,4.25622,0.743702
3811,4.25621,0.739528
3821,4.25518,0.73776
3831,4.2557,0.736635
3841,4.25615,0.734323
3851,4.2564,0.734282
3861,4.25306,0.725581
3871,4.25322,0.722027
3881,4.25383,0.720199
3891,4.25402,0.711603
3901,4.25387,0.708299
3911,4.253,0.701759
3921,4.25333,0.697732
3931,4.25377,0.690166
3941,4.25427,0.687136
3951,4.253,0.687755
3961,4.25305,0.680311
3971,4.25352,0.678288
3981,4.25387,0.677193
3991,4.25428,0.675886
4001,4.25433,0.675277
4011,4.25125,0.669029
4021,4.25171,0.662874
4031,4.252,0.659212
4041,4.2524,0.651184
4051,4.25253,0.646123
4061,4.25334,0.64613
4071,4.25375,0.644244
4081,4.25317,0.642878
4091,4.25267,0.640117
4101,4.25308,0.637468
4111,4.2539,0.634461
4121,4.25414,0.632535
4131,4.25396,0.628769
4141,4.25303,0.620816
4151,4.25365,0.620014
4161,4.25414,0.618249
4171,4.25461,0.613436
4181,4.25349,0.611393
4191,4.2536,0.605714
4201,4.25409,0.600419
4211,4.25382,0.600419
4221,4.25318,0.59348
4231,4.2536,0.588229
4241,4.25407,0.584556
4251,4.2545,0.581674
4261,4.25349,0.576198
4271,4.25334,0.575191
4281,4.25396,0.571548
4291,4.2543,0.566557
4301,4.25189,0.56397
4311,4.25153,0.56119
4321,4.25174,0.555581
4331,4.25197,0.553733
4341,4.25255,0.551328
4351,4.253,0.547467
4361,4.25357,0.545711
4371,4.25441,0.544471
4381,4.25466,0.541623
4391,4.2511,0.540859
4401,4.25163,0.535858
4411,4.25201,0.528208
4421,4.25236,0.522865
4431,4.25301,0.519799
4441,4.25355,0.516301
4451,4.25411,0.513797
4461,4.25462,0.507651
4471,4.25132,0.503035
4481,4.25131,0.499942
4491,4.25185,0.493332
4501,4.25223,0.48987
4511,4.25283,0.487173
4521,4.25338,0.48365
4531,4.25385,0.482163
4541,4.25444,0.480303
4551,4.25094,0.473566
4561,4.2513,0.46789
4571,4.25163,0.461246
4581,4.2521,0.457155
4591,4.25246,0.453403
4601,4.25295,0.452721
4611,4.25375,0.44872
4621,4.25424,0.446083
4631,4.25383,0.446083
4641,4.25309,0.443672
4651,4.25389,0.442675
4661,4.25426,0.442588
4671,4.25404,0.440998
4681,4.25327,0.437514
4691,4.2539,0.435385
4701,4.25438,0.431696
4711,4.25246,0.432062
4721,4.25138,0.431276
4731,4.25155,0.418861
4741,4.25204,0.414061
4751,4.2525,0.410286
4761,4.25301,0.407074
4771,4.25344,0.404001
4781,4.25379,0.401694
4791,4.25438,0.399871
4801,4.2516,0.396893
4811,4.25132,0.391813
4821,4.25163,0.387672
4831,4.25219,0.382769
4841,4.25259,0.380502
4851,4.25311,0.377044
4861,4.25355,0.373464
4871,4.25387,0.371988
4881,4.25439,0.368075
4891,4.25295,0.364604
4901,4.25325,0.36239
4911,4.25378,0.359363
4921,4.25424,0.357718
4931,4.2548,0.357954
4941,4.2552,0.354532
4951,4.25578,0.355672
4961,4.25631,0.35145
4971,4.2527,0.352191
4981,4.24929,0.341562
4991,4.24943,0.333993
5001,4.24952,0.327579
5011,4.25004,0.321322
5021,4.25025,0.319184
5031,4.25049,0.314694
5041,4.25096,0.30757
5051,4.24978,0.304641
5061,4.24953,0.299044
5071,4.24991,0.298212
5081,4.25021,0.293923
5091,4.25062,0.291951
5101,4.25025,0.290461
5111,4.24935,0.287536
5121,4.24973,0.283891
5131,4.2502,0.279851
5137,4.2503,0.279236
5167,4.20666,-0.00109647
5197,4.2034,-0.00109574
5227,4.20148,-0.00109533
5257,4.1999,-0.0010949
5287,4.19887,-0.00109471
5317,4.1979,-0.00109455
5347,4.19705,-0.00109433
5377,4.1964,-0.00109419
5407,4.19567,-0.00109395
5437,4.19506,-0.00109382
5467,4.19449,-0.0010936
5497,4.194,-0.0010936
5527,4.19353,-0.00109349
5557,4.19313,-0.0010933
5587,4.19273,-0.00109319
5617,4.19234,-0.00109319
5647,4.19202,-0.00109306
5677,4.19165,-0.001093
5707,4.19142,-0.00109276
5737,4.19116,-0.00109287
5767,4.19088,-0.00109273
5797,4.19056,-0.0010927
5827,4.19035,-0.00109262
5857,4.19012,-0.00109257
5887,4.18991,-0.00109257
5917,4.18968,-0.00109254
5947,4.18954,-0.00109238
5977,4.18933,-0.00109238
6007,4.18906,-0.00109235
6037,4.18889,-0.00109224
6067,4.18877,-0.00109222
6097,4.18858,-0.00109224
6127,4.1884,-0.00109211
6157,4.18822,-0.00109208
6187,4.18806,-0.00109208
6217,4.18799,-0.00109205
6247,4.18789,-0.001092
6277,4.18769,-0.00109189
6307,4.18755,-0.00109194
6337,4.18729,-0.00109186
6347,3.72844,-3.00297
6357,3.70049,-3.0028
6367,3.67964,-3.00265
6377,3.66564,-3.00256
6387,3.65528,-3.00293
6397,3.64709,-3.00281
6407,3.64032,-3.00262
6417,3.63467,-3.00278
6427,3.63017,-3.00269
6437,3.62654,-3.00283
6447,3.62272,-3.00273
6457,3.61944,-3.00263
6467,3.61647,-3.00298
6477,3.61367,-3.00278
6487,3.61107,-3.00289
6497,3.60839,-3.00286
6507,3.60616,-3.00287
6517,3.60412,-3.00279
6527,3.60194,-3.00286
6537,3.60002,-3.00277
6547,3.59802,-3.00286
6557,3.59615,-3.00275
6567,3.59437,-3.00287
6577,3.59254,-3.00272
6587,3.59086,-3.00279
6597,3.58928,-3.00277
6607,3.58771,-3.00287
6617,3.58585,-3.00282
6627,3.58443,-3.00267
6637,3.5831,-3.0027
6647,3.58166,-3.00291
6657,3.58004,-3.00267
6667,3.57843,-3.00269
6677,3.57692,-3.0028
6687,3.57552,-3.00272
6697,3.5727,-3.00267
6727,4.05656,-0.00106106
6757,4.07491,-0.00106358
6787,4.08155,-0.00106481
6817,4.0847,-0.00106543
6847,4.08647,-0.00106575
6877,4.08755,-0.00106594
6907,4.08817,-0.00106613
6937,4.08868,-0.00106621
6967,4.08904,-0.00106635
6997,4.08927,-0.00106632
7027,4.08954,-0.00106643
7057,4.08972,-0.0010664
7087,4.08984,-0.00106657
7117,4.08999,-0.00106649
7147,4.09001,-0.00106651
7177,4.09015,-0.00106651
7207,4.09016,-0.00106654
7237,4.09029,-0.00106651
7267,4.09032,-0.00106651
7297,4.09034,-0.00106654
7327,4.09039,-0.00106665
7357,4.09047,-0.00106659
7387,4.09038,-0.00106662
7417,4.09041,-0.00106654
7447,4.09054,-0.00106657
7477,4.09048,-0.00106659
7507,4.09059,-0.00106651
7537,4.0906,-0.00106662
7567,4.09054,-0.0010667
7597,4.09064,-0.00106665
7627,4.09065,-0.0010667
7657,4.09064,-0.00106668
7687,4.09074,-0.00106673
7717,4.09069,-0.0010667
7747,4.09065,-0.00106665
7777,4.09067,-0.0010667
7807,4.09069,-0.00106651
7837,4.09078,-0.00106665
7867,4.09077,-0.0010667
7897,4.09071,-0.00106668
7927,4.0908,-0.0010667
7957,4.09073,-0.00106662
7987,4.09076,-0.00106668
8017,4.09081,-0.00106662
8047,4.09075,-0.0010667
8077,4.09079,-0.00106665
8107,4.09079,-0.0010667
8137,4.09079,-0.00106668
8167,4.09083,-0.0010667
8197,4.0908,-0.00106673
8227,4.09085,-0.0010667
8257,4.09079,-0.00106676
8287,4.09084,-0.00106662
8317,4.09083,-0.0010667
8347,4.09084,-0.00106668
8377,4.09085,-0.0010667
8407,4.09079,-0.00106676
8437,4.09084,-0.0010667
8467,4.09083,-0.0010667
8497,4.09081,-0.0010667
8507,3.63498,-3.00283
8517,3.61022,-3.00273
8527,3.59396,-3.00264
8537,3.58265,-3.00304
8547,3.57488,-3.00277
8557,3.56915,-3.00258
8567,3.56447,-3.00269
8577,3.56059,-3.00267
8587,3.55723,-3.00296
8597,3.55433,-3.00278
8607,3.55175,-3.00276
8617,3.54907,-3.0028
8627,3.5466,-3.00295
8637,3.54418,-3.00276
8647,3.54182,-3.0028
8657,3.53936,-3.00275
8667,3.53678,-3.00285
8677,3.53412,-3.00284
8687,3.53152,-3.00273
8697,3.52896,-3.00276
8707,3.52643,-3.00261
8717,3.52393,-3.00265
8727,3.52112,-3.00266
8737,3.51814,-3.00278
8747,3.51532,-3.0026
8757,3.51243,-3.00261
8767,3.5091,-3.00264
8777,3.50601,-3.00279
8787,3.50271,-3.0028
8797,3.49956,-3.00289
8807,3.49634,-3.00299
8817,3.49315,-3.00294
8827,3.49018,-3.00277
8837,3.48684,-3.0027
8847,3.48345,-3.0027
8857,3.4787,-3.00249
8888,3.96235,-0.00103634
8918,3.97983,-0.00103875
8948,3.98558,-0.00103973
8978,3.98864,-0.00104046
9008,3.99072,-0.00104084
9038,3.9924,-0.00104124
9068,3.99391,-0.00104168
9098,3.99547,-0.00104203
9128,3.99688,-0.0010423
9158,3.9983,-0.00104276
9188,3.99948,-0.00104312
9218,4.00071,-0.00104336
9248,4.00186,-0.00104366
9278,4.00273,-0.00104379
9308,4.00359,-0.00104412
9338,4.00436,-0.00104423
9368,4.00489,-0.00104431
9398,4.00537,-0.0010445
9428,4.00584,-0.00104466
9458,4.00627,-0.00104469
9488,4.00648,-0.00104471
9518,4.00672,-0.0010448
9548,4.00691,-0.00104482
9578,4.0071,-0.00104488
9608,4.00727,-0.00104493
9638,4.00735,-0.00104499
9668,4.00753,-0.00104496
9698,4.00765,-0.00104499
9728,4.00776,-0.00104512
9758,4.00786,-0.00104499
9788,4.00801,-0.00104518
9818,4.00804,-0.00104515
9848,4.00808,-0.00104515
9878,4.00815,-0.0010452
9908,4.00811,-0.00104512
9938,4.00823,-0.00104515
9968,4.00827,-0.00104518
9998,4.00831,-0.0010452
10028,4.00829,-0.00104512
10058,4.00834,-0.00104526
10088,4.00834,-0.00104515
10118,4.00836,-0.00104518
10148,4.00847,-0.00104523
10178,4.00843,-0.0010452
10208,4.00845,-0.00104518
10238,4.00851,-0.0010452
10268,4.0085,-0.00104518
10298,4.00851,-0.00104526
10328,4.00859,-0.00104531
10358,4.0086,-0.00104537
10388,4.0086,-0.00104526
10418,4.00859,-0.00104523
10448,4.00863,-0.00104526
10478,4.00867,-0.00104531
10508,4.00865,-0.00104528
10538,4.00863,-0.00104539
10568,4.00869,-0.00104526
10598,4.00869,-0.00104531
10628,4.0087,-0.00104526
10658,4.00887,-0.00104534
10668,3.54938,-3.00269
10678,3.5204,-3.00285
10688,3.4997,-3.0031
10698,3.48534,-3.00298
10708,3.47488,-3.00274
10718,3.46667,-3.00261
10728,3.46012,-3.00279
10738,3.45434,-3.00278
10748,3.44958,-3.00272
10758,3.44543,-3.00291
10768,3.44161,-3.00264
10778,3.43782,-3.00263
10788,3.43409,-3.00257
10798,3.43058,-3.00287
10808,3.42695,-3.00269
10818,3.42348,-3.00303
10828,3.42047,-3.00273
10838,3.41718,-3.00271
10848,3.41401,-3.00274
10858,3.41097,-3.00277
10868,3.40812,-3.00294
10878,3.40547,-3.00282
10888,3.4026,-3.00296
10898,3.39978,-3.00282
10908,3.39712,-3.00275
10918,3.39435,-3.00301
10928,3.39175,-3.00278
10938,3.38923,-3.00278
10948,3.38654,-3.00262
10958,3.38381,-3.00264
10968,3.38142,-3.00285
10978,3.37901,-3.00276
10988,3.37656,-3.00273
10998,3.37415,-3.00258
11008,3.37175,-3.00276
11018,3.36849,-3.00283
11048,3.85202,-0.00100741
11078,3.86906,-0.0010099
11108,3.87516,-0.00101096
11138,3.8779,-0.00101145
11168,3.87967,-0.0010118
11198,3.88082,-0.00101207
11228,3.88164,-0.00101229
11258,3.88236,-0.00101251
11288,3.88294,-0.00101261
11318,3.88344,-0.00101267
11348,3.88376,-0.0010128
11378,3.88409,-0.00101289
11408,3.88436,-0.00101294
11438,3.88461,-0.00101297
11468,3.88486,-0.00101305
11498,3.88499,-0.00101302
11528,3.8852,-0.00101316
11558,3.88528,-0.00101305
11588,3.88541,-0.00101321
11618,3.88548,-0.00101321
11648,3.88551,-0.00101321
11678,3.88564,-0.00101324
11708,3.88572,-0.00101324
11738,3.88584,-0.00101324
11768,3.88583,-0.00101324
11798,3.88601,-0.00101335
11828,3.88603,-0.00101326
11858,3.88613,-0.00101332
11888,3.88617,-0.00101332
11918,3.88617,-0.0010134
11948,3.88632,-0.00101335
11978,3.88638,-0.00101343
12008,3.88647,-0.00101345
12038,3.88653,-0.0010134
12068,3.88658,-0.00101354
12098,3.8866,-0.00101345
12128,3.88663,-0.00101356
12158,3.88669,-0.00101345
12188,3.88671,-0.00101351
12218,3.88669,-0.00101343
12248,3.88677,-0.00101354
12278,3.88683,-0.00101351
12308,3.8868,-0.00101354
12338,3.88687,-0.00101354
